what,kind,bundleId,bundleVersion,description,time
closed,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1319228715876
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1319228723625
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1319228723641
started,bundle,org.eclipse.jdt.launching.macosx,3.2.0.v20090527,"org.eclipse.jdt.launching.macosx",1319228723647
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319228728709
started,bundle,org.eclipse.core.filesystem,1.2.0.v20090507,"org.eclipse.core.filesystem",1319228748088
started,bundle,org.eclipse.jdt.groovy.core,1.0.0.xx-20091023-1300-e35,"org.eclipse.jdt.groovy.core",1319228748191
started,bundle,org.codehaus.groovy,1.7.0.xx-20091023-1300-e35,"org.codehaus.groovy",1319228748203
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319228753720
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1319228760322
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1319228763822
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1319228788843
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1319228788942
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319228789013
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319228789204
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1319228790227
started,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1319228790773
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1319228805233
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319228820913
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319228876469
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.properties",1319228876527
started,bundle,PathTools,1.0.36,"PathTools",1319228880578
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319228884292
started,bundle,net.sf.jautodoc,1.5.0,"net.sf.jautodoc",1319228887337
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319228962699
