what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229436654
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229466082
started,bundle,org.eclipse.jdt.apt.core,3.3.201.R35x_v20090818-0235,"org.eclipse.jdt.apt.core",1319229466258
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090818-0225,"org.eclipse.jdt.apt.pluggable.core",1319229466262
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229476903
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229556962
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1319229563018
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229563298
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229563864
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319229584527
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319229584594
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1319229588110
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319229588110
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229592166
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229605290
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229609939
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229613284
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1319229613307
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229616627
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229625874
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229630821
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229649862
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.properties",1319229649901
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229656739
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229732378
