what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319230146551
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1319230156122
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319230163171
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319230165826
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319230165866
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.cleanAction",1319230165977
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319230171206
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319230190980
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319230195688
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.restartWorkbench",1319230196120
stopped,bundle,org.eclipse.mylyn.ide.ant,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.ide.ant",1319230196187
stopped,bundle,eclipse2ant,1.1.7,"eclipse2ant",1319230196188
stopped,bundle,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui",1319230196189
stopped,bundle,org.eclipse.mylyn.java.tasks,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.java.tasks",1319230196189
stopped,bundle,org.eclipse.mylyn.java.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.java.ui",1319230196189
stopped,bundle,org.codehaus.groovy.eclipse.codeassist.completion,2.0.0.xx-20091023-1300-e35,"org.codehaus.groovy.eclipse.codeassist.completion",1319230196190
stopped,bundle,org.codehaus.groovy.eclipse.codebrowsing,2.0.0.xx-20091023-1300-e35,"org.codehaus.groovy.eclipse.codebrowsing",1319230196190
stopped,bundle,org.codehaus.groovy.eclipse.cstviewer,2.0.0.xx-20091023-1300-e35,"org.codehaus.groovy.eclipse.cstviewer",1319230196190
stopped,bundle,org.codehaus.groovy.eclipse.ui,2.0.0.xx-20091023-1300-e35,"org.codehaus.groovy.eclipse.ui",1319230196190
stopped,bundle,org.codehaus.groovy.eclipse.refactoring,2.0.0.xx-20091023-1300-e35,"org.codehaus.groovy.eclipse.refactoring",1319230196191
stopped,bundle,org.codehaus.groovy.eclipse.core,2.0.0.xx-20091023-1300-e35,"org.codehaus.groovy.eclipse.core",1319230196191
stopped,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1319230196191
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.ui",1319230196192
stopped,bundle,com.jdocs.eclipse.plugin,1.0.1,"com.jdocs.eclipse.plugin",1319230196192
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1319230196193
