what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229245769
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229248039
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229254622
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1319229254642
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1319229254642
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229258689
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229287901
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1319229287927
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229294595
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229317697
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319229335870
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319229335913
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1319229358466
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319229358721
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319229358785
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319229363643
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319229363643
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1319229364838
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319229364838
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229382503
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229386679
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1319229386699
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1319229386699
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229393740
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229430576
